tower_id_1|latitude_1|longitude_1|tower_height_1|tower_id_2|latitude_2|longitude_2|tower_height_2|distance
314|-5.905003|-76.101394|15.0|6933|-6.007289|-75.91091|12.0|23932.677072798
314|-5.905003|-76.101394|15.0|6871|-6.06859|-76.2482|15.0|24319.798729601
314|-5.905003|-76.101394|15.0|6840|-6.123067|-76.165032|5.0|25123.048953041
314|-5.905003|-76.101394|15.0|327|-6.02500934573387|-75.873430656687|30.0|28516.522988514
314|-5.905003|-76.101394|15.0|6864|-6.075131|-75.90092|12.0|29096.491735536
314|-5.905003|-76.101394|15.0|6846|-6.10934|-76.26847|30.0|29202.260648089
314|-5.905003|-76.101394|15.0|317|-6.11316495635003|-76.2713571445513|30.0|29732.006713382
314|-5.905003|-76.101394|15.0|6832|-6.1425|-75.96395|45.0|30353.426647509
314|-5.905003|-76.101394|15.0|6926|-6.02117|-75.81467|9.0|34247.131762185
314|-5.905003|-76.101394|15.0|335|-5.62916666666667|-75.955|30.0|34545.26086121
314|-5.905003|-76.101394|15.0|337|-5.71132862568861|-75.8466822661188|30.0|35418.992298431
314|-5.905003|-76.101394|15.0|6754|-6.25146|-76.03212|15.0|39073.434355572
315|-6.04225003463105|-76.157034498059|30.0|316|-6.04928331277774|-76.1768403258158|30.0|2326.460155809
315|-6.04225003463105|-76.157034498059|30.0|6886|-6.05174|-76.18898|20.0|3688.931273882
315|-6.04225003463105|-76.157034498059|30.0|6878|-6.05841|-76.19771|30.0|4844.578503489
315|-6.04225003463105|-76.157034498059|30.0|6947|-5.980189|-76.11333|20.0|8397.274097666
315|-6.04225003463105|-76.157034498059|30.0|6840|-6.123067|-76.165032|5.0|8981.025478667
315|-6.04225003463105|-76.157034498059|30.0|321|-5.96033015583201|-76.1520971973351|30.0|9075.702107558
315|-6.04225003463105|-76.157034498059|30.0|6955|-5.969361|-76.112361|30.0|9456.974528365
315|-6.04225003463105|-76.157034498059|30.0|6871|-6.06859|-76.2482|15.0|10504.19671111
315|-6.04225003463105|-76.157034498059|30.0|6938|-6.00047|-76.24543|15.0|10822.070386907
