tower_id_1|latitude_1|longitude_1|tower_height_1|tower_id_2|latitude_2|longitude_2|tower_height_2|distance|line_of_sight|additional_height_tower_1|additional_height_tower_2|error_flag
315|-6.042250034631049|-76.15703449805899|30.0|69111|-6.035480000000001|-76.25618|15.0|11001.491435728001|False|11.993914779823598|7.998647271535759|False
315|-6.042250034631049|-76.15703449805899|30.0|6846|-6.10934|-76.26847|30.0|14394.980960833|True|0.0|0.0|False
315|-6.042250034631049|-76.15703449805899|30.0|329|-6.015528271062419|-76.0270401016982|30.0|14691.661494584|False|117.38742255058307|257.24244596964263|False
315|-6.042250034631049|-76.15703449805899|30.0|317|-6.11316495635003|-76.2713571445513|30.0|14888.149609019|True|0.0|0.0|False
315|-6.042250034631049|-76.15703449805899|30.0|6983|-5.907081|-76.1103|11.0|15818.101530748001|False|63.00014170806597|452.4042747668266|False
315|-6.042250034631049|-76.15703449805899|30.0|6990|-5.900704|-76.11150500000001|11.0|16444.746986632|False|68.50043941022513|521.5524148173558|False
315|-6.042250034631049|-76.15703449805899|30.0|6996|-5.89575|-76.12185799999999|11.0|16662.472149096|False|55.998342850165116|436.6979173243699|False
315|-6.042250034631049|-76.15703449805899|30.0|6989|-5.90175|-76.10166667|70.0|16703.010819375|False|49.39126842941094|379.57197295069545|False
315|-6.042250034631049|-76.15703449805899|30.0|6995|-5.89789|-76.11019|30.0|16785.645414567|False|65.91187526671241|513.7422332330073|False
315|-6.042250034631049|-76.15703449805899|30.0|6997|-5.895262000000001|-76.10476899999999|11.0|17254.215301951|False|62.488979195502395|485.76199735334853|False
315|-6.042250034631049|-76.15703449805899|30.0|6999|-5.894595|-76.105726|11.0|17288.616563851|False|62.72700826245098|488.6748243254485|False
315|-6.042250034631049|-76.15703449805899|30.0|326|-5.89408884785614|-76.1068140743227|30.0|17302.401640759|False|63.68693326853021|535.1884243712309|False
315|-6.042250034631049|-76.15703449805899|30.0|7000|-5.89402778|-76.10455556|20.0|17390.741401741|False|61.48628974468512|482.3841323244801|False
315|-6.042250034631049|-76.15703449805899|30.0|7001|-5.893689|-76.10454|20.0|17426.632369096|False|61.464218965534045|483.336350860267|False
315|-6.042250034631049|-76.15703449805899|30.0|320|-5.88893191012214|-76.1129550906649|30.0|17643.333402236|False|66.4980201081348|546.3803193384153|False
315|-6.042250034631049|-76.15703449805899|30.0|7009|-5.88563|-76.12665|25.0|17643.72675607|False|52.11697620795837|537.7089191813392|False
315|-6.042250034631049|-76.15703449805899|30.0|319|-5.894783228707781|-76.2325052780687|30.0|18324.011141085|False|28.847622263579638|191.14798336075614|False
315|-6.042250034631049|-76.15703449805899|30.0|7004|-5.89055|-76.22854|15.0|18550.283685653998|False|51.414627431651724|215.0600912952093|False
315|-6.042250034631049|-76.15703449805899|30.0|7003|-5.89055|-76.23181899999999|30.0|18708.112961535|False|28.3556712044953|202.61746237181416|False
315|-6.042250034631049|-76.15703449805899|30.0|6986|-5.905667|-76.026917|30.0|20873.036551177|False|69.75347818293648|594.711439076957|False
315|-6.042250034631049|-76.15703449805899|30.0|331|-5.925142448645741|-75.999503674783|30.0|21723.620921072|False|75.16635722469998|595.2517375422899|False
315|-6.042250034631049|-76.15703449805899|30.0|6998|-5.89465|-76.01693889|20.0|22517.294041333|False|69.50033336169282|644.8505406205906|False
315|-6.042250034631049|-76.15703449805899|30.0|330|-5.954811111111111|-75.964926297017|30.0|23363.937610475|False|88.29473453103532|528.5054127301244|False
315|-6.042250034631049|-76.15703449805899|30.0|6959|-5.95412|-75.96509|15.0|23379.208384466|False|90.00982142059131|546.3758906845583|False
315|-6.042250034631049|-76.15703449805899|30.0|6832|-6.1425|-75.96395|45.0|24077.622688427004|True|0.0|0.0|False
315|-6.042250034631049|-76.15703449805899|30.0|6754|-6.25146|-76.03211999999999|15.0|26952.331960741|False|78.38713922460323|58.00815204096344|False
315|-6.042250034631049|-76.15703449805899|30.0|6933|-6.007289|-75.91091|12.0|27521.046461305|False|97.53840242606044|485.5652991975153|False
315|-6.042250034631049|-76.15703449805899|30.0|7048|-5.7962489999999995|-76.092548|15.0|28125.812863131|False|53.72550299745704|727.1840262561601|False
315|-6.042250034631049|-76.15703449805899|30.0|328|-5.890957568587179|-75.9515264595539|30.0|28242.937215245|False|70.61952872236712|751.2866520035362|False
315|-6.042250034631049|-76.15703449805899|30.0|7006|-5.88985|-75.95152|15.0|28316.259155457003|False|93.62338796448783|777.2214532867831|False
315|-6.042250034631049|-76.15703449805899|30.0|6864|-6.075131|-75.90092|12.0|28584.561351417004|False|96.92146133697214|220.0559458942363|False
315|-6.042250034631049|-76.15703449805899|30.0|7063|-5.763689|-76.12572|20.0|30999.504367382997|False|29.589074976387103|502.1368843788955|False
315|-6.042250034631049|-76.15703449805899|30.0|327|-6.025009345733871|-75.873430656687|30.0|31454.742111977|False|77.35876435515809|349.6943821215761|False
315|-6.042250034631049|-76.15703449805899|30.0|6926|-6.02117|-75.81466999999999|9.0|37973.871584267996|False|470.95492044926704|385.6467368486826|False
315|-6.042250034631049|-76.15703449805899|30.0|7088|-5.726083|-76.00958299999999|125.0|38588.453744383|False|52.05111519428975|932.5357018870025|False
315|-6.042250034631049|-76.15703449805899|30.0|11006|-5.729222|-76.002361|90.0|38622.148416004|False|51.174237881053315|917.5455428059358|False
315|-6.042250034631049|-76.15703449805899|30.0|323|-5.724515456676951|-76.0115583358355|30.0|38653.922268689|False|57.663467079885095|1053.3216634051957|False
315|-6.042250034631049|-76.15703449805899|30.0|7087|-5.726237|-76.0074|15.0|38675.973047175|False|57.95582509993346|1040.8092153944913|False
316|-6.04928331277774|-76.1768403258158|30.0|6886|-6.051740000000001|-76.18898|20.0|1371.089674242|True|0.0|0.0|False
316|-6.04928331277774|-76.1768403258158|30.0|6878|-6.05841|-76.19771|30.0|2521.169803739|True|0.0|0.0|False
316|-6.04928331277774|-76.1768403258158|30.0|6871|-6.06859|-76.2482|15.0|8183.082384954|False|15.093428715371715|2.2534872861929784|False
316|-6.04928331277774|-76.1768403258158|30.0|6840|-6.123067|-76.165032|5.0|8263.536014107|False|50.61132032303631|7.073318021490593|False
316|-6.04928331277774|-76.1768403258158|30.0|69111|-6.035480000000001|-76.25618|15.0|8914.965639403|False|62.01797955211434|16.130618870145383|False
